stim1,stim2,distance,isCorrect
stim/bda0.wav,stim/bda0.wav,0,0
stim/bda0.wav,stim/bda1.wav,-1,1
stim/bda0.wav,stim/bda2.wav,-2,1
stim/bda0.wav,stim/bda3.wav,-3,1
stim/bda0.wav,stim/bda4.wav,-4,1
stim/bda0.wav,stim/bda5.wav,-5,1
stim/bda0.wav,stim/bda6.wav,-6,1
stim/bda1.wav,stim/bda0.wav,1,1
stim/bda1.wav,stim/bda1.wav,0,0
stim/bda1.wav,stim/bda2.wav,-1,1
stim/bda1.wav,stim/bda3.wav,-2,1
stim/bda1.wav,stim/bda4.wav,-3,1
stim/bda1.wav,stim/bda5.wav,-4,1
stim/bda1.wav,stim/bda6.wav,-5,1
stim/bda2.wav,stim/bda0.wav,2,1
stim/bda2.wav,stim/bda1.wav,1,1
stim/bda2.wav,stim/bda2.wav,0,0
stim/bda2.wav,stim/bda3.wav,-1,1
stim/bda2.wav,stim/bda4.wav,-2,1
stim/bda2.wav,stim/bda5.wav,-3,1
stim/bda2.wav,stim/bda6.wav,-4,1
stim/bda3.wav,stim/bda0.wav,3,1
stim/bda3.wav,stim/bda1.wav,2,1
stim/bda3.wav,stim/bda2.wav,1,1
stim/bda3.wav,stim/bda3.wav,0,0
stim/bda3.wav,stim/bda4.wav,-1,1
stim/bda3.wav,stim/bda5.wav,-2,1
stim/bda3.wav,stim/bda6.wav,-3,1
stim/bda4.wav,stim/bda0.wav,4,1
stim/bda4.wav,stim/bda1.wav,3,1
stim/bda4.wav,stim/bda2.wav,2,1
stim/bda4.wav,stim/bda3.wav,1,1
stim/bda4.wav,stim/bda4.wav,0,0
stim/bda4.wav,stim/bda5.wav,-1,1
stim/bda4.wav,stim/bda6.wav,-2,1
stim/bda5.wav,stim/bda0.wav,5,1
stim/bda5.wav,stim/bda1.wav,4,1
stim/bda5.wav,stim/bda2.wav,3,1
stim/bda5.wav,stim/bda3.wav,2,1
stim/bda5.wav,stim/bda4.wav,1,1
stim/bda5.wav,stim/bda5.wav,0,0
stim/bda5.wav,stim/bda6.wav,-1,1
stim/bda6.wav,stim/bda0.wav,6,1
stim/bda6.wav,stim/bda1.wav,5,1
stim/bda6.wav,stim/bda2.wav,4,1
stim/bda6.wav,stim/bda3.wav,3,1
stim/bda6.wav,stim/bda4.wav,2,1
stim/bda6.wav,stim/bda5.wav,1,1
stim/bda6.wav,stim/bda6.wav,0,0